Timestamp_seconds,Sample_V
1580423641.79862,-4.00040690725079e-05
1580423641.79962,-3.38495969074981e-05
1580423641.80062,-2.15406525775064e-05
1580423641.80163,-4.61585412375176e-05
1580423641.80263,-3.07723608250488e-06
1580423641.80363,4.00040690725079e-05
1580423641.80463,2.76951247425161e-05
1580423641.80563,6.46219577325191e-05
1580423641.80663,0.000107703262887504
1580423641.80763,8.92398463925026e-05
1580423641.80863,7.07764298975011e-05
1580423641.80963,4.61585412375176e-05
1580423641.81063,8.30853742275206e-05
1580423641.81164,8.30853742275206e-05
1580423641.81264,5.23130134024996e-05
1580423641.81364,0.000120012207217524
1580423641.81464,0.00018771140103252
1580423641.81564,0.000347727677322551
1580423641.81664,0.000581597619592589
1580423641.81764,0.000698532590727607
1580423641.81864,0.000624678924747601
1580423641.81964,0.000280028483507527
1580423641.82064,-6.46219577325191e-05
1580423641.82164,-0.000581597619592589
1580423641.82264,-0.000772386256707613
1580423641.82365,-0.000421581343302557
1580423641.82465,-0.000126166679382506
1580423641.82565,9.23170824751463e-06
1580423641.82665,9.53943185575123e-05
1580423641.82765,0.000163093512372536
1580423641.82865,0.000224638234022523
1580423641.82965,0.000292337427837547
1580423641.83065,0.000236947178352542
1580423641.83165,0.000138475623712525
1580423641.83265,7.69309020625109e-05
1580423641.83365,-0.000156939040207527
1580423641.83466,-0.000280028483507527
1580423641.83566,-0.000255410594847544
1580423641.83666,-0.000206174817527521
1580423641.83766,-0.000218483761857541
1580423641.83866,-5.23130134024996e-05
1580423641.83966,3.38495969074981e-05
1580423641.84066,-9.23170824751463e-06
1580423641.84166,-3.07723608250488e-06
1580423641.84266,5.23130134024996e-05
1580423641.84366,5.84674855675094e-05
1580423641.84466,4.61585412375176e-05
1580423641.84566,7.69309020625109e-05
1580423641.84667,9.53943185575123e-05
1580423641.84767,0.000101548790722522
1580423641.84867,0.000101548790722522
1580423641.84967,6.46219577325191e-05
1580423641.85067,4.00040690725079e-05
1580423641.85167,3.07723608250488e-06
1580423641.85267,1.53861804124966e-05
1580423641.85367,5.84674855675094e-05
1580423641.85467,0.000113857735052514
1580423641.85567,0.000144630095877507
1580423641.85667,0.000120012207217524
1580423641.85768,9.53943185575123e-05
1580423641.85868,8.92398463925026e-05
1580423641.85968,8.30853742275206e-05
1580423641.86068,7.69309020625109e-05
1580423641.86168,5.23130134024996e-05
1580423641.86268,4.00040690725079e-05
1580423641.86368,1.53861804124966e-05
1580423641.86468,9.23170824751463e-06
1580423641.86568,2.15406525775064e-05
1580423641.86668,1.53861804124966e-05
1580423641.86768,3.07723608250488e-06
1580423641.86869,-9.23170824751463e-06
1580423641.86969,9.23170824751463e-06
1580423641.87069,2.15406525775064e-05
1580423641.87169,4.00040690725079e-05
1580423641.87269,5.23130134024996e-05
1580423641.87369,5.84674855675094e-05
1580423641.87469,6.46219577325191e-05
1580423641.87569,5.23130134024996e-05
1580423641.87669,4.61585412375176e-05
1580423641.87769,4.61585412375176e-05
1580423641.87869,3.38495969074981e-05
1580423641.87969,2.76951247425161e-05
1580423641.8807,4.00040690725079e-05
1580423641.8817,4.61585412375176e-05
1580423641.8827,5.84674855675094e-05
1580423641.8837,5.23130134024996e-05
1580423641.8847,6.46219577325191e-05
1580423641.8857,7.69309020625109e-05
1580423641.8867,9.53943185575123e-05
1580423641.8877,0.000107703262887504
1580423641.8887,0.000126166679382506
