Timestamp_seconds,Gyro_X_s,Gyro_Y_s,Gyro_Z_s
1580420496.58637,-6.37827115281902,-23.5904478522925,-30.5485618371861
1580420496.59037,-0.335698481727377,-22.919050888838,-22.7359426260775
1580420496.59437,5.82894636453807,-22.613870450904,-15.4726482032502
1580420496.59837,12.2987716487373,-22.2476539253832,-9.00282291905091
1580420496.60237,18.9517051956968,-22.0035095750361,-3.20439459830618
1580420496.60637,25.6046387426566,-22.1255817502097,1.73952849622333
1580420496.61036,31.8913557640954,-22.5528343633173,6.25619897764545
1580420496.61436,37.5066758220796,-23.2852674143587,9.97940032043948
1580420496.61836,41.9623102159151,-23.8956282902266,12.664988174258
1580420496.62236,46.2958724345767,-24.4449530785075,14.5571068894483
1580420496.62636,51.6060120546272,-24.8111696040282,15.7167925535973
1580420496.63034,57.8927290760662,-24.9942778667887,17.0595864805066
1580420496.63434,64.6066987106128,-25.1163500419623,18.646524757763
1580420496.63834,70.4661631189442,-24.8111696040282,20.355535210193
1580420496.64234,74.7997253376061,-24.6890974288547,22.064545662623
1580420496.64633,78.3398184176394,-24.2618448157473,23.773556115053
1580420496.65033,82.2461280231937,-23.5904478522925,25.2384222171358
1580420496.65433,86.7017624170294,-23.4073395895323,26.4591439688716
1580420496.65833,91.8287937743194,-23.6514839398794,27.8629739833675
1580420496.66233,97.016861219196,-23.8956282902266,29.4499122606239
1580420496.66633,101.838712138552,-24.0177004654001,31.2199588006408
1580420496.67033,105.683985656519,-24.322880903334,33.1120775158311
1580420496.67433,108.430609597925,-24.8111696040282,35.0041962310215
1580420496.67832,109.590295262074,-25.2384222171358,36.9573510337987
1580420496.68232,110.078583962768,-26.337071793698,38.4832532234682
1580420496.68632,108.979934386206,-27.3136491950866,39.8260471503775
1580420496.69032,105.073624780652,-27.8019378957808,40.4364080262453
1580420496.69432,99.6414129854279,-28.9616235599296,40.6805523765925
1580420496.69832,93.2326237888151,-30.3044174868389,40.6805523765925
1580420496.70232,85.9082932784008,-31.769283588922,40.4974441138322
1580420496.70632,78.2787823300528,-34.0886549172199,40.6805523765925
1580420496.71033,69.7337300679028,-36.346990157931,40.7415884641794
1580420496.71433,59.9679560540167,-38.8494697489891,41.1078049897001
1580420496.71832,49.2866407263291,-41.7181658655682,41.1688410772867
1580420496.72232,38.1170366979475,-44.4037537193867,40.9857328145265
1580420496.72632,26.0318913557639,-46.7841611352712,40.4364080262453
1580420496.73032,13.3974212252995,-48.8593881132219,39.2156862745096
1580420496.73432,0.946059357595232,-50.3242542153048,37.8728923476003
1580420496.73832,-9.97940032043948,-51.3008316166934,36.6521705958646
